原始日期,原始设备ID,标准日期,标准设备ID,来源表,需要检查
2025/12/14,1af9,2025-12-14,1af9,表1,True
2025/12/14,691f,2025-12-14,691f,表1,True
2025/12/14,3fb3,2025-12-14,3fb3,表1,True
2025/12/15,cbcd,2025-12-15,cbcd,表1,True
2025/12/15,e2be,2025-12-15,e2be,表1,True
2025/12/16,cda9,2025-12-16,cda9,表1,True
2025/12/16,1af9,2025-12-16,1af9,表1,True
2025/12/16,691f,2025-12-16,691f,表1,True
2025/12/16,3fb3,2025-12-16,3fb3,表1,True
2025/12/16,5c12,2025-12-16,5c12,表1,True
2025/12/16,cbcd,2025-12-16,cbcd,表1,True
2025/12/16,e2be,2025-12-16,e2be,表1,True
2025/12/16,52a2,2025-12-16,52a2,表1,True
2025/12/17,cda9,2025-12-17,cda9,表1,True
2025/12/17,1af9,2025-12-17,1af9,表1,True
2025/12/17,691f,2025-12-17,691f,表1,True
2025/12/17,3fb3,2025-12-17,3fb3,表1,True
2025/12/17,5c12,2025-12-17,5c12,表1,True
2025/12/17,cbcd,2025-12-17,cbcd,表1,True
2025/12/17,e2be,2025-12-17,e2be,表1,True
2025/12/17,52a2,2025-12-17,52a2,表1,True
2025/12/18,cda9,2025-12-18,cda9,表1,True
2025/12/18,1af9,2025-12-18,1af9,表1,True
2025/12/18,691f,2025-12-18,691f,表1,True
2025/12/18,3fb3,2025-12-18,3fb3,表1,True
2025/12/18,5c12,2025-12-18,5c12,表1,True
2025/12/18,cbcd,2025-12-18,cbcd,表1,True
2025/12/18,e2be,2025-12-18,e2be,表1,True
2025/12/18,52a2,2025-12-18,52a2,表1,True
2025/12/18,6210,2025-12-18,6210,表1,True
2025/12/18,64c2,2025-12-18,64c2,表1,True
2025/12/18,3bef,2025-12-18,3bef,表1,True
2025/12/19,cda9,2025-12-19,cda9,表1,True
2025/12/19,1af9,2025-12-19,1af9,表1,True
2025/12/19,691f,2025-12-19,691f,表1,True
2025/12/19,3fb3,2025-12-19,3fb3,表1,True
2025/12/19,5c12,2025-12-19,5c12,表1,True
2025/12/19,dcfe,2025-12-19,dcfe,表1,True
2025/12/19,e2be,2025-12-19,e2be,表1,True
2025/12/19,c828,2025-12-19,c828,表1,True
2025/12/19,6210,2025-12-19,6210,表1,True
2025/12/19,64c2,2025-12-19,64c2,表1,True
2025/12/19,3bef,2025-12-19,3bef,表1,True
2025/12/20,cda9,2025-12-20,cda9,表1,True
2025/12/20,1af9,2025-12-20,1af9,表1,True
2025/12/20,691f,2025-12-20,691f,表1,True
2025/12/20,3fb3,2025-12-20,3fb3,表1,True
2025/12/20,5c12,2025-12-20,5c12,表1,True
2025/12/20,dcfe,2025-12-20,dcfe,表1,True
2025/12/20,c828,2025-12-20,c828,表1,True
2025/12/21,dcfe,2025-12-21,dcfe,表1,True
2025/12/21,c828,2025-12-21,c828,表1,True
2025/12/21,e2be,2025-12-21,e2be,表1,True
2025/12/21,691f,2025-12-21,691f,表1,True
2025/12/21,3fb3,2025-12-21,3fb3,表1,True
2025/12/21,cda9,2025-12-21,cda9,表1,True
2025/12/22,6210,2025-12-22,6210,表1,True
2025/12/22,64c2,2025-12-22,64c2,表1,True
2025/12/22,3bef,2025-12-22,3bef,表1,True
2025/12/22,cda9,2025-12-22,cda9,表1,True
2025/12/22,1af9,2025-12-22,1af9,表1,True
2025/12/22,691f,2025-12-22,691f,表1,True
2025/12/22,3fb3,2025-12-22,3fb3,表1,True
2025/12/22,5c12,2025-12-22,5c12,表1,True
2025/12/22,dcfe,2025-12-22,dcfe,表1,True
2025/12/22,c828,2025-12-22,c828,表1,True
2025/12/22,cbcd,2025-12-22,cbcd,表1,True
2025/12/22,52a2,2025-12-22,52a2,表1,True
2025/12/22,e2be,2025-12-22,e2be,表1,True
2025/11/13,17fd,2025-11-13,17fd,表1,True
2025/11/13,c0e4,2025-11-13,c0e4,表1,True
2025/11/13,e5fb,2025-11-13,e5fb,表1,True
2025/11/14,e5fb,2025-11-14,e5fb,表1,True
2025/11/14,c0e4,2025-11-14,c0e4,表1,True
2025/11/15,e5fb,2025-11-15,e5fb,表1,True
2025/11/15,17fd,2025-11-15,17fd,表1,True
2025/11/15,c0e4,2025-11-15,c0e4,表1,True
2025/11/17,e5fb,2025-11-17,e5fb,表1,True
2025/11/17,c0e4,2025-11-17,c0e4,表1,True
2025/11/17,17fd,2025-11-17,17fd,表1,True
2025/11/18,e5fb,2025-11-18,e5fb,表1,True
2025/11/18,c0e4,2025-11-18,c0e4,表1,True
2025/11/18,17fd,2025-11-18,17fd,表1,True
2025/11/19,17fd,2025-11-19,17fd,表1,True
2025/11/19,c0e4,2025-11-19,c0e4,表1,True
2025/11/19,e5fb,2025-11-19,e5fb,表1,True
2025/11/20,17fd,2025-11-20,17fd,表1,True
2025/11/20,c0e4,2025-11-20,c0e4,表1,True
2025/11/20,e5fb,2025-11-20,e5fb,表1,True
2025/11/20,821e,2025-11-20,821e,表1,True
2025/11/20,d70d,2025-11-20,d70d,表1,True
2025/11/21,17fd,2025-11-21,17fd,表1,True
2025/11/21,c0e4,2025-11-21,c0e4,表1,True
2025/11/21,e5fb,2025-11-21,e5fb,表1,True
2025/11/22,17fd,2025-11-22,17fd,表1,True
2025/11/22,c0e4,2025-11-22,c0e4,表1,True
2025/11/22,e5fb,2025-11-22,e5fb,表1,True
2025/11/24,17fd,2025-11-24,17fd,表1,True
2025/11/24,c0e4,2025-11-24,c0e4,表1,True
2025/11/24,e5fb,2025-11-24,e5fb,表1,True
2025/11/24,7cf6,2025-11-24,7cf6,表1,True
2025/11/24,e84e,2025-11-24,e84e,表1,True
2025/11/25,17fd,2025-11-25,17fd,表1,True
2025/11/25,c0e4,2025-11-25,c0e4,表1,True
2025/11/25,e5fb,2025-11-25,e5fb,表1,True
2025/11/25,7cf6,2025-11-25,7cf6,表1,True
2025/11/25,e84e,2025-11-25,e84e,表1,True
2025/11/25,821e,2025-11-25,821e,表1,True
2025/11/25,d70d,2025-11-25,d70d,表1,True
2025/11/26,17fd,2025-11-26,17fd,表1,True
2025/11/26,c0e4,2025-11-26,c0e4,表1,True
2025/11/26,e5fb,2025-11-26,e5fb,表1,True
2025/11/26,7cf6,2025-11-26,7cf6,表1,True
2025/11/26,e84e,2025-11-26,e84e,表1,True
2025/11/26,821e,2025-11-26,821e,表1,True
2025/11/26,d70d,2025-11-26,d70d,表1,True
2025/11/27,17fd,2025-11-27,17fd,表1,True
2025/11/27,c0e4,2025-11-27,c0e4,表1,True
2025/11/27,e5fb,2025-11-27,e5fb,表1,True
2025/11/27,7cf6,2025-11-27,7cf6,表1,True
2025/11/27,e84e,2025-11-27,e84e,表1,True
2025/11/27,821e,2025-11-27,821e,表1,True
2025/11/27,d70d,2025-11-27,d70d,表1,True
2025/11/27,fbdb,2025-11-27,fbdb,表1,True
2025/11/27,8f4a,2025-11-27,8f4a,表1,True
2025/11/28,17fd,2025-11-28,17fd,表1,True
2025/11/28,c0e4,2025-11-28,c0e4,表1,True
2025/11/28,e5fb,2025-11-28,e5fb,表1,True
2025/11/28,7cf6,2025-11-28,7cf6,表1,True
2025/11/28,e84e,2025-11-28,e84e,表1,True
2025/11/28,821e,2025-11-28,821e,表1,True
2025/11/28,d70d,2025-11-28,d70d,表1,True
2025/11/28,fbdb,2025-11-28,fbdb,表1,True
2025/11/28,8f4a,2025-11-28,8f4a,表1,True
2025/11/29,c0e4,2025-11-29,c0e4,表1,True
2025/11/29,e5fb,2025-11-29,e5fb,表1,True
2025/11/29,7cf6,2025-11-29,7cf6,表1,True
2025/11/29,e84e,2025-11-29,e84e,表1,True
2025/11/29,8f4a,2025-11-29,8f4a,表1,True
2025/11/30,821e,2025-11-30,821e,表1,True
2025/11/30,d70d,2025-11-30,d70d,表1,True
2025/11/30,8f4a,2025-11-30,8f4a,表1,True
2025/11/30,c0a2,2025-11-30,c0a2,表1,True
2025/11/30,279f,2025-11-30,279f,表1,True
2025/11/30,8c60,2025-11-30,8c60,表1,True
2025/12/1,17fd,2025-12-01,17fd,表1,True
2025/12/1,c0e4,2025-12-01,c0e4,表1,True
2025/12/1,e5fb,2025-12-01,e5fb,表1,True
2025/12/1,7cf6,2025-12-01,7cf6,表1,True
2025/12/1,e84e,2025-12-01,e84e,表1,True
2025/12/1,8f4a,2025-12-01,8f4a,表1,True
2025/12/1,821e,2025-12-01,821e,表1,True
2025/12/1,d70d,2025-12-01,d70d,表1,True
2025/12/1,c0a2,2025-12-01,c0a2,表1,True
2025/12/1,279f,2025-12-01,279f,表1,True
2025/12/1,8c60,2025-12-01,8c60,表1,True
2025/12/2,17fd,2025-12-02,17fd,表1,True
2025/12/2,c0e4,2025-12-02,c0e4,表1,True
2025/12/2,e5fb,2025-12-02,e5fb,表1,True
2025/12/2,7cf6,2025-12-02,7cf6,表1,True
2025/12/2,e84e,2025-12-02,e84e,表1,True
2025/12/2,8f4a,2025-12-02,8f4a,表1,True
2025/12/2,821e,2025-12-02,821e,表1,True
2025/12/2,d70d,2025-12-02,d70d,表1,True
2025/12/2,c0a2,2025-12-02,c0a2,表1,True
2025/12/2,279f,2025-12-02,279f,表1,True
2025/12/2,8c60,2025-12-02,8c60,表1,True
2025/12/3,17fd,2025-12-03,17fd,表1,True
2025/12/3,c0e4,2025-12-03,c0e4,表1,True
2025/12/3,e5fb,2025-12-03,e5fb,表1,True
2025/12/3,7cf6,2025-12-03,7cf6,表1,True
2025/12/3,e84e,2025-12-03,e84e,表1,True
2025/12/3,8f4a,2025-12-03,8f4a,表1,True
2025/12/3,821e,2025-12-03,821e,表1,True
2025/12/3,d70d,2025-12-03,d70d,表1,True
2025/12/3,c0a2,2025-12-03,c0a2,表1,True
2025/12/3,279f,2025-12-03,279f,表1,True
2025/12/3,8c60,2025-12-03,8c60,表1,True
2025/12/4,17fd,2025-12-04,17fd,表1,True
2025/12/4,c0e4,2025-12-04,c0e4,表1,True
2025/12/4,e5fb,2025-12-04,e5fb,表1,True
2025/12/4,7cf6,2025-12-04,7cf6,表1,True
2025/12/4,e84e,2025-12-04,e84e,表1,True
2025/12/4,8f4a,2025-12-04,8f4a,表1,True
2025/12/4,821e,2025-12-04,821e,表1,True
2025/12/4,d70d,2025-12-04,d70d,表1,True
2025/12/4,c0a2,2025-12-04,c0a2,表1,True
2025/12/4,279f,2025-12-04,279f,表1,True
2025/12/4,8c60,2025-12-04,8c60,表1,True
2025/12/4,4fcf,2025-12-04,4fcf,表1,True
2025/12/5,17fd,2025-12-05,17fd,表1,True
2025/12/5,c0e4,2025-12-05,c0e4,表1,True
2025/12/5,e5fb,2025-12-05,e5fb,表1,True
2025/12/5,7cf6,2025-12-05,7cf6,表1,True
2025/12/5,e84e,2025-12-05,e84e,表1,True
2025/12/5,821e,2025-12-05,821e,表1,True
2025/12/5,d70d,2025-12-05,d70d,表1,True
2025/12/5,fbdb,2025-12-05,fbdb,表1,True
2025/12/5,8f4a,2025-12-05,8f4a,表1,True
2025/12/5,cc83,2025-12-05,cc83,表1,True
2025/12/5,c71e,2025-12-05,c71e,表1,True
2025/12/5,c0a2,2025-12-05,c0a2,表1,True
2025/12/5,279f,2025-12-05,279f,表1,True
2025/12/5,8c60,2025-12-05,8c60,表1,True
2025/12/5,4fcf,2025-12-05,4fcf,表1,True
2025/12/6,c0e4,2025-12-06,c0e4,表1,True
2025/12/6,e5fb,2025-12-06,e5fb,表1,True
2025/12/6,7cf6,2025-12-06,7cf6,表1,True
2025/12/6,e84e,2025-12-06,e84e,表1,True
2025/12/6,fbdb,2025-12-06,fbdb,表1,True
2025/12/6,8f4a,2025-12-06,8f4a,表1,True
2025/12/6,cc83,2025-12-06,cc83,表1,True
2025/12/6,c71e,2025-12-06,c71e,表1,True
2025/12/6,c0a2,2025-12-06,c0a2,表1,True
2025/12/6,279f,2025-12-06,279f,表1,True
2025/12/6,8c60,2025-12-06,8c60,表1,True
2025/12/6,4fcf,2025-12-06,4fcf,表1,True
2025/12/7,821e,2025-12-07,821e,表1,True
2025/12/7,d70d,2025-12-07,d70d,表1,True
2025/12/7,fbdb,2025-12-07,fbdb,表1,True
2025/12/7, c71e,2025-12-07,c71e,表1,True
2025/12/7,cc83,2025-12-07,cc83,表1,True
2025/12/7,c0a2,2025-12-07,c0a2,表1,True
2025/12/7,279f,2025-12-07,279f,表1,True
2025/12/7,8c60,2025-12-07,8c60,表1,True
2025/12/7,4fcf,2025-12-07,4fcf,表1,True
2025/12/8,c0e4,2025-12-08,c0e4,表1,True
2025/12/8,e5fb,2025-12-08,e5fb,表1,True
2025/12/8,7cf6,2025-12-08,7cf6,表1,True
2025/12/8,e84e,2025-12-08,e84e,表1,True
2025/12/8,821e,2025-12-08,821e,表1,True
2025/12/8,d70d,2025-12-08,d70d,表1,True
2025/12/8,fbdb,2025-12-08,fbdb,表1,True
2025/12/8,cc83,2025-12-08,cc83,表1,True
2025/12/8,c71e,2025-12-08,c71e,表1,True
2025/12/8,c0a2,2025-12-08,c0a2,表1,True
2025/12/8,279f,2025-12-08,279f,表1,True
2025/12/8,8c60,2025-12-08,8c60,表1,True
2025/12/8,4fcf,2025-12-08,4fcf,表1,True
2025/12/9,3702,2025-12-09,3702,表1,True
2025/12/9,c0e4,2025-12-09,c0e4,表1,True
2025/12/9,e5fb,2025-12-09,e5fb,表1,True
2025/12/9,7cf6,2025-12-09,7cf6,表1,True
2025/12/9,e84e,2025-12-09,e84e,表1,True
2025/12/9,821e,2025-12-09,821e,表1,True
2025/12/9,d70d,2025-12-09,d70d,表1,True
2025/12/9,fbdb,2025-12-09,fbdb,表1,True
2025/12/9,cc83,2025-12-09,cc83,表1,True
2025/12/9,c71e,2025-12-09,c71e,表1,True
2025/12/9,c0a2,2025-12-09,c0a2,表1,True
2025/12/9,279f,2025-12-09,279f,表1,True
2025/12/9,8c60,2025-12-09,8c60,表1,True
2025/12/9,4fcf,2025-12-09,4fcf,表1,True
2025/12/10,3702,2025-12-10,3702,表1,True
2025/12/10,c0e4,2025-12-10,c0e4,表1,True
2025/12/10,e5fb,2025-12-10,e5fb,表1,True
2025/12/10,7cf6,2025-12-10,7cf6,表1,True
2025/12/10,e84e,2025-12-10,e84e,表1,True
2025/12/10,c0a2,2025-12-10,c0a2,表1,True
2025/12/10,279f,2025-12-10,279f,表1,True
2025/12/10,8c60,2025-12-10,8c60,表1,True
2025/12/10,4fcf,2025-12-10,4fcf,表1,True
2025/12/10,b054,2025-12-10,b054,表1,True
2025/12/10,20e7,2025-12-10,20e7,表1,True
2025/12/10,b18b,2025-12-10,b18b,表1,True
2025/12/10,13fa,2025-12-10,13fa,表1,True
2025/12/10,9b08,2025-12-10,9b08,表1,True
2025/12/10,821e,2025-12-10,821e,表1,True
2025/12/10,d70d,2025-12-10,d70d,表1,True
2025/12/10,fbdb,2025-12-10,fbdb,表1,True
2025/12/10,c71e,2025-12-10,c71e,表1,True
2025/12/11,3702,2025-12-11,3702,表1,True
2025/12/11,c0a2,2025-12-11,c0a2,表1,True
2025/12/11,279f,2025-12-11,279f,表1,True
2025/12/11,8c60,2025-12-11,8c60,表1,True
2025/12/11,4fcf,2025-12-11,4fcf,表1,True
2025/12/11,b054,2025-12-11,b054,表1,True
2025/12/11,20e 7,2025-12-11,20e 7,表1,True
2025/12/11,b18b,2025-12-11,b18b,表1,True
2025/12/11,13fa,2025-12-11,13fa,表1,True
2025/12/11,9d08,2025-12-11,9d08,表1,True
2025/12/11,c71e,2025-12-11,c71e,表1,True
2025/12/11,cc83,2025-12-11,cc83,表1,True
2025/12/12,c0a2,2025-12-12,c0a2,表1,True
2025/12/12,279f,2025-12-12,279f,表1,True
2025/12/12,8c60,2025-12-12,8c60,表1,True
2025/12/12,4fcf,2025-12-12,4fcf,表1,True
2025/12/12,b054,2025-12-12,b054,表1,True
2025/12/12,20e7,2025-12-12,20e7,表1,True
2025/12/12,b18b,2025-12-12,b18b,表1,True
2025/12/12,13fa,2025-12-12,13fa,表1,True
2025/12/12,9d08,2025-12-12,9d08,表1,True
2025/12/12,c71e,2025-12-12,c71e,表1,True
2025/12/12,09ca,2025-12-12,09ca,表1,True
2025/12/12,cc83,2025-12-12,cc83,表1,True
2025/12/12,9d6f,2025-12-12,9d6f,表1,True
2025/12/12,0469,2025-12-12,0469,表1,True
2025/12/12,3730,2025-12-12,3730,表1,True
2025/12/12,3702,2025-12-12,3702,表1,True
2025/12/13,c0a2,2025-12-13,c0a2,表1,True
2025/12/13,279f,2025-12-13,279f,表1,True
2025/12/13,8c60,2025-12-13,8c60,表1,True
2025/12/13,4fcf,2025-12-13,4fcf,表1,True
2025/12/13,b054,2025-12-13,b054,表1,True
2025/12/13,20e7,2025-12-13,20e7,表1,True
2025/12/13,b18b,2025-12-13,b18b,表1,True
2025/12/14,0469,2025-12-14,0469,表1,True
2025/12/14,3730,2025-12-14,3730,表1,True
2025/12/14,3702,2025-12-14,3702,表1,True
2025/12/14,c0a2,2025-12-14,c0a2,表1,True
2025/12/14,279f,2025-12-14,279f,表1,True
2025/12/14,8c60,2025-12-14,8c60,表1,True
2025/12/14,4fcf,2025-12-14,4fcf,表1,True
2025/12/14,09ca,2025-12-14,09ca,表1,True
2025/12/14,9d6f,2025-12-14,9d6f,表1,True
2025/12/14,b054,2025-12-14,b054,表1,True
2025/12/14,20e 7,2025-12-14,20e 7,表1,True
2025/12/14,b18b,2025-12-14,b18b,表1,True
2025/12/14,13fa,2025-12-14,13fa,表1,True
2025/12/14,9d08,2025-12-14,9d08,表1,True
2025/12/15,0469,2025-12-15,0469,表1,True
2025/12/15,3730,2025-12-15,3730,表1,True
2025/12/15,3702,2025-12-15,3702,表1,True
2025/12/15,c0a2,2025-12-15,c0a2,表1,True
2025/12/15,279f,2025-12-15,279f,表1,True
2025/12/15,8c60,2025-12-15,8c60,表1,True
2025/12/15,4fcf,2025-12-15,4fcf,表1,True
2025/12/15,c71e,2025-12-15,c71e,表1,True
2025/12/15,09ca,2025-12-15,09ca,表1,True
2025/12/15,cc83,2025-12-15,cc83,表1,True
2025/12/15,20e7,2025-12-15,20e7,表1,True
2025/12/15,b18b,2025-12-15,b18b,表1,True
2025/12/15,13fa,2025-12-15,13fa,表1,True
2025/12/15,9d08,2025-12-15,9d08,表1,True
2025/12/16,0469,2025-12-16,0469,表1,True
2025/12/16,3730,2025-12-16,3730,表1,True
2025/12/16,3702,2025-12-16,3702,表1,True
2025/12/16,c0a2,2025-12-16,c0a2,表1,True
2025/12/16,279f,2025-12-16,279f,表1,True
2025/12/16,4fcf,2025-12-16,4fcf,表1,True
2025/12/16,20e7,2025-12-16,20e7,表1,True
2025/12/16,b18b,2025-12-16,b18b,表1,True
2025/12/16,13fa,2025-12-16,13fa,表1,True
2025/12/16,9d08,2025-12-16,9d08,表1,True
2025/12/17,0469,2025-12-17,0469,表1,True
2025/12/17,3730,2025-12-17,3730,表1,True
2025/12/17,3702,2025-12-17,3702,表1,True
2025/12/17,c0a2,2025-12-17,c0a2,表1,True
2025/12/17,279f,2025-12-17,279f,表1,True
2025/12/17,4fcf,2025-12-17,4fcf,表1,True
2025/12/17,b18b,2025-12-17,b18b,表1,True
2025/12/17,13fa,2025-12-17,13fa,表1,True
2025/12/17,9d08,2025-12-17,9d08,表1,True
2025/12/17,c71e,2025-12-17,c71e,表1,True
2025/12/17,09ca,2025-12-17,09ca,表1,True
2025/12/17,cc83,2025-12-17,cc83,表1,True
2025/12/18,0469,2025-12-18,0469,表1,True
2025/12/18,3730,2025-12-18,3730,表1,True
2025/12/18,3702,2025-12-18,3702,表1,True
2025/12/18,c0a2,2025-12-18,c0a2,表1,True
2025/12/18,279f,2025-12-18,279f,表1,True
2025/12/18,4fcf,2025-12-18,4fcf,表1,True
2025/12/18,20e7,2025-12-18,20e7,表1,True
2025/12/18,b18b,2025-12-18,b18b,表1,True
2025/12/18,13fa,2025-12-18,13fa,表1,True
2025/12/18,9d08,2025-12-18,9d08,表1,True
2025/12/18,c71e,2025-12-18,c71e,表1,True
2025/12/18,09ca,2025-12-18,09ca,表1,True
2025/12/18,cc83,2025-12-18,cc83,表1,True
2025/12/18,9d6f,2025-12-18,9d6f,表1,True
2025/12/19,0469,2025-12-19,0469,表1,True
2025/12/19,3730,2025-12-19,3730,表1,True
2025/12/19,3702,2025-12-19,3702,表1,True
2025/12/19,20e7,2025-12-19,20e7,表1,True
2025/12/19,b18b,2025-12-19,b18b,表1,True
2025/12/19,13fa,2025-12-19,13fa,表1,True
2025/12/19,9d08,2025-12-19,9d08,表1,True
2025/12/19,4fcf,2025-12-19,4fcf,表1,True
2025/12/19,c71e,2025-12-19,c71e,表1,True
2025/12/19,09ca,2025-12-19,09ca,表1,True
2025/12/19,cc83,2025-12-19,cc83,表1,True
2025/12/19,9d6f,2025-12-19,9d6f,表1,True
2025/12/20,20e7,2025-12-20,20e7,表1,True
2025/12/20,b18b,2025-12-20,b18b,表1,True
2025/12/20,4fcf,2025-12-20,4fcf,表1,True
2025/12/21,20e7,2025-12-21,20e7,表1,True
2025/12/21,b18b,2025-12-21,b18b,表1,True
2025/12/21,13fa,2025-12-21,13fa,表1,True
2025/12/21,9d08,2025-12-21,9d08,表1,True
2025/12/21,0469,2025-12-21,0469,表1,True
2025/12/21,3730,2025-12-21,3730,表1,True
2025/12/21,3702,2025-12-21,3702,表1,True
2025/12/21,09ca,2025-12-21,09ca,表1,True
2025/12/21,cc83,2025-12-21,cc83,表1,True
2025/12/21,9d6f,2025-12-21,9d6f,表1,True
2025/12/21,4fcf,2025-12-21,4fcf,表1,True
2025/12/22,20e7,2025-12-22,20e7,表1,True
2025/12/22,b18b,2025-12-22,b18b,表1,True
2025/12/22,13fa,2025-12-22,13fa,表1,True
2025/12/22,9d08,2025-12-22,9d08,表1,True
2025/12/22,0469,2025-12-22,0469,表1,True
2025/12/22,3730,2025-12-22,3730,表1,True
2025/12/22,3702,2025-12-22,3702,表1,True
